Name;Phone;Email;City;Address;WorkingTime
РУСАВТО;79996001573;Russavvto@yandex.ru;Астрахань и область;ул. Латвийская, д. 1Б/1.;с 9.00 до 18.00
Такси им. Люка Бессона;79678245546;summerwolf@yandex.ru;Астрахань и область;;
Гарант;79086140406;Taxopark.garant@yandex.ru;Астрахань и область;;
Алиот;79275696099;aliot-astra11624802@yandex.ru;Астрахань и область;ул. Энергетиков шоссе, д.  5Д/1.;с 09.00 до 18.00, пн-пт.
Приоритет;79881773000;olesya231283@yandex.ru;Астрахань и область;;
Best-RUS;79673337380;giperbank30@gmail.com;Астрахань и область;ул. 28-ой Армии , д.14/1, офис 44;с 9.00 до 19.00.
СПЕКТР;79275604388;taxi-spectr@yandex.ru;Астрахань и область;ул. Брестская, д. 34;с 9.00 до 17.00.
Азимут;;;Астрахань и область;;
MEDIA GRUPP;;;Астрахань и область;;
Юг-Такси. Моментум;;;Астрахань и область;;
EXPERT PARK;;;Астрахань и область;;
iCab;;;Астрахань и область;;
Taxist;;;Астрахань и область;;
Премиум;;;Астрахань и область;;
ООО «Алекс-Групп»;;;Астрахань и область;;
Олимп;;;Астрахань и область;;
БТК;;;Астрахань и область;;
КАТАЛА-VIP;;;Астрахань и область;;
ИП Канкулов Леонид Русланович;;;Астрахань и область;;
Гэра;;;Астрахань и область;;
Оптима;;;Астрахань и область;;
Юг-такси;;;Астрахань и область;;
BestTaxi;79130264420;Oleg_suxov_95@bk.ru;Барнаул;Барнаул, ул. Воровского, д. 161.;с 8.00 до 22.00.
Каскад;79236541216;AlexDesant888@yandex.ru;Барнаул;Барнаул, ул. Эмилии Алексеевой, д. 2Б.;с 8.00 до 20.00
ПЕРВЫЙ Парк;79635377722;info@1park.pro;Барнаул;;
Альт Терра;79021400099;fedko-egorova@yandex.ru;Барнаул;;
ИП Карпова Л.В.;79069444565;KarpovaLubov2017@yandex.ru;Барнаул;Барнаул, ул. Власихинская, д. 40;с 10.00 до 19.00, пн-пт.
